Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5.0,Good Quality Deshedding Brush for the Money (and I have researched a bunch),"February 26, 2018",Yes,"Nice sized brush that comes with two metal brushing attachments (one longer than the other). It's of good quality too and comes in a nice prepacked box. I use this on my little rat terrier whose hair tends to get a little rough/thick on her back and around her neck and she actually sits still for the brushing and seems to like it (and she is usually fickle about getting brushed).  I haven't used it on any of the cats yet but would only use it on my fluffier cats.  The metal might be a little much for our older cats who are pretty skinny and have thinning hair.  I did use it on my one other short-haired dog and she was fine with the feel of it.  It was probably a good back-scratcher for her!..<a class=""a-link-normal"" data-hook=""product-link-linked"" href=""/TWOBIU-Pet-Deshedding-Brush-for-Dogs-Cats-Dog-Shedding-Brush-Cat-Deshedding-Tool-with-Fur-Ejector-Cat-Dog-Brushes-for-Shedding-Short-Hair-To-Medium-Length-Hair/dp/B01LZY3CHN/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">TWOBIU Pet Deshedding Brush for Dogs &amp; Cats, Dog Shedding Brush, Cat Deshedding Tool with Fur Ejector, Cat &amp; Dog Brushes for Shedding Short Hair To Medium Length Hair</a>",1
5.0,Highly recommend!!,"January 10, 2019",Yes,"Amazing! My two outside dogs would always bark 24/7. When I come be go, during the night, if people were moving two houses down etc. I tried the collars but they didn’t seem to work and batteries were always dying. After a couple hours of hanging this bark house up the dogs were silent. They whine a little and let out a bark here and there but it’s nothing to the constant bark. I highly recommend them this!",3
4.0,Brushes well but some gadgets don't work.,"December 2, 2017",Yes,"It brushes well. My cats are iffy on this so far. They have no idea what I'm doing to them so they squirm around lol. My dog for the first time doesn't try and run away. She usually sits still after some time and then leaves. This time she stayed calm until I was done. A ton of fur came out, making her super soft. (She's a german shepherd mix.) The only downfall of this is there is supposed to be a release button to push the fur out. Well, doesn't really do anything. It's easy to pull the hair out myself so whatever. Also, to change the sizing of the brush it's hard to pull the blade out. I don't know if I'm not seeing an easy release or what.",2
4.0,Nice lightweight bowls for medium size dog,"June 18, 2016",Yes,"These are great bowls, lightweight and easy to clean.  They are not heavy duty bowls by any means, if your dog is tough on their dishes you might want to look elsewhere.  Our 52lb lab/pit mix seems to like them just fine.  We use about a cup and a half of dog food per meal and there is plenty of room.  They are shallow bowls though, when I fill one with water it is very easy to slop it out when carrying to spot where we keep her dishes.  I've taken to filling it often with a glass instead.  We keep them on a small carpet and they never slide around on that.  If they weren't on that though they would slide all over on our hardwood floors even with the small rubber ring on the bottom.  Our dog is able to drink just fine from the bowl and only slops a bit when she has been out tearing around the ranch and is drinking very quickly and panting heavily.",3
5.0,Highly Recommend !,"October 1, 2016",Yes,"I have been using Thunderpaws for a few months now. My 120 lb dog became acutely paralyzed 10 months ago. I work in wound care and know the importance of keeping the skin in tact, and in good condition,  to prevent bed sores, etc. I have been doing a lot of reading and found that the Omega vitamins were good for my dogs skin. Prior to his disability, he was prone to heavy shedding. In fact, I have never seen a dog shed so much. It would come out in handfuls. Since I have been using Thunderpaws, the shedding is very minimal. He likes the taste, which is a plus. He's very suspicious of everything and won't eat it until he makes sure it's okay (no medicine). I told him these were treats and I guess he believes me..haha! Most importantly, his skin is in good condition. His Vet looked at the ingredients and said they were good. I give him 4 (treats) a day. I probably should have these automatically delivered. However, I can get them by the next day if I need them. The company always sends them on time.",2
1.0,Didn't work,"December 18, 2018",Yes,"When I put the battery inside my dog was very scared of this, so I was pretty optimistic that she heard the beep, but to my dismay it didn't take her long before she was within the 50 foot zone and barking into the night :(",3
2.0,Serviceable but not impressive,"February 15, 2017",Yes,"This item just feels very light duty.  It does hold 32oz of liquid but that is right to the rim.  There is no margin at all for sloppy dog drinking when near full.  They felt so thin I went ahead and measured them.  The outside walls mic'ed at about 12 mil thick.  Pushing with a thumb will easily ""oil can"" the side walls.  The rubber skid band is also pretty thin (50-ish mils).  It's pretty soft and feels like it will wear through easily if scuffed around on a rough surface (as in by a dog eating/drinking).  My run-of-mill metal kitchen mixing bowls are much more substantial.  More of what I was expecting here only with a wide bottom.  Not what this item is. These are serviceable but not impressive.",2
5.0,Comfortable and Secure Leash!,"December 31, 2017",Yes,"I ordered this leash for our rescue when she turned one year old. I had previously had the same brand in the 8 foot length, but I wanted a shorter length and got the 6 foot. This is a wonderful leash! I especially like the padded hand loops which are easy on my hands when she sometimes pulls on me. The short loop is a life-saver when I want to keep her close to me for greater control. I am a senior and feel very secure walking my dog with this leash. The hardware on this leash is of good quality and can withstand  pulling when my dog spots a squirrel or deer. The 8 foot leash is great also, I just made a few knots in it to give me some more grip. I use the longer leash when my husband and I take our dog on wooded trails and I can give her a little more freedom. I had previously used a cloth leash that was slippery and would burn my hand if she suddenly pulled. No problems like that with this leash. Highly recommend!",1
1.0,Caution....Metal Residue,"January 18, 2017",Yes,"Poor quality stainless steel. When you leave dry dog food in this bowl for any length of time, as in just a few days, and wipe it with a damp paper towel, you will get a residue of gray metal. I sure as heck do not want to make my dog sick. Going back for a refund. And yes, I tried 2 different quality dry dog food brands and with the same results. Very disappointed.",4
5.0,Best Omega compound for pets!,"September 24, 2016",Yes,"I ""love It"" because my ca t needed Omega oils. He would scratch and practically 'ask' to have his back scratched daily and often.  There wasn't one oil style supplement I tried that he would eat mixed in his food. I take one tab and using a zester grate the tab into a fine powder, then mix into his food; he seems to love the enhanced smell and taste. Manufacturer mentions giving your pet a tab, but these tabs are the size of a US nickel and thick; grating them works best in my situation. If your cat/dog dislikes oily supplements, give these a try.",3
2.0,they are fine. Slightly smaller than I was expecting,"August 29, 2016",Yes,"For the price...they are fine..Slightly smaller than I was expecting, more wide than deep. Which makes mixing anything into my dogs 2 cups of kibble a bit more of a chore than it needs to be..Also one of the rubber rings around the base came broken, not a deal breaker but now I do find the bowl in different locations when I come home eat day. The dogs have figured out the bowls weakness and now exploit it whenever they get a chance. :/",4
2.0,"Overall, not worth it.","November 21, 2017",Yes,"If all you care about is something holding food and water I suppose they do that. However, they don’t stay weighted to the floor as advertised, and they got nasty very quickly. I purchased in feb but had a baby so I wasn’t able to write my review until now, so sorry. I guess I’m looking for new ones! My dog pushes her bowl all over the floor and the rubber piece on the bottom as come off. And the water bowl has rusted as well, so it looks really gross. Overall, not worth it.",2
5.0,Healthy and cat-approved!,"December 9, 2016",Yes,"Our cat hated the fish oil pills we were giving him, so we decided to try this product.  Our cat has always been a fussy eater, but he loves the taste of these. The dosage is half a pill daily.  We cut the pill in half and then crumble the half into smaller pieces.  He eats every bit.  Our vet looked at the ingredients and said this is just as good for our cat as the fish oil pills we used to have to force down his throat.  His coat is soft and silky, and he feels like he's getting a treat every day.  So our vet is happy, our cat is happy, and we're happy.  We'll definitely order more.",3
5.0,so far my dog has eaten the vitamins like a treat,"October 31, 2016",Yes,"so far my dog has eaten the vitamins like a treat.  trying to treat her hyperkeratosis.  i think its helping although its only been a week that shes been taking the pills.  i will say that the pills crumble easily, dont toss them to the dog or floor or you might need to do a little clean up.  the whole pill doesnt break apart, just the edges and i think the pills stink.  although ive always had to fight my dog to take pills so i guess ""stinky""  is a good smell to her",3
5.0,Very Satisfied,"March 29, 2016",Yes,"These came just as pictured with the embossed little paw prints and everything! It also came carefully packaged and both bowls were intact. I bought these for my puppy. He's a mini schnauzer and he is 11 weeks and he has no trouble eating from it. They're a great size too, you can even use it when your puppy gets older and bigger. The rubber part in the bottom prevents it from sliding on tile so no mess either unless your puppy happens to put his paw inside the water bowl (mine does it all the time). Overall, this was a great buy and would recommend to others!",3
2.0,Ineffective,"January 8, 2019",Yes,"I found this completely ineffective for my dog. He's an intact goldendoodle with a clear view from our back yard of a walking trail with several dogs and people that he has taken to barking at. When I tested it in the house, he seamed a little taken aback by it like he might have heard something. I tried it several different places in my backyard and gradually turned it to the highest setting. The light was signaling that it was working, but the barking never slowed. The final straw was after it was turned all the way up in one corner of the yard and he was standing directly under it barking very energetically. Returning it. I'll give it a couple stars since the return process is pretty painless.",1
4.0,"Works well, but shows the hard water stains more than other dishes","July 27, 2017",Yes,"I like these dishes well enough - they work fine and stand up to the play of multiple pets (including a large, muscular, rambunctious, full-sized/large ""puppy"").  The one minor complaint is we have extra hard water and these bowls seem to ""stain"" (hard water scaling residue) much more easily than any of our other pet bowls.",2
5.0,"Expensive, but well worth it if used right.","October 20, 2015",Yes,"Your dog will go bonkers for these. Ok, so they are expensive, there is no getting around that. But if you use them the right way they will last a long time. I use these as garnish treats. I sprinkle one over kibble and stuff them in the bottom of a Kong toy. The smell is an instant dog whistle. It's a strong smell but as long as you keep them sealed, you shouldn't smell it until opening. Want your dog to go in the crate? Put one of these in the crate, that simple. These are perfect for a busy body Chihuahua when you need to catch them or put them up. It's been about 5 months and I am getting just about to the bottom of this bag. Obviously a big dog owner will have a different experience, but if you use them as a stinky garnish, they will still last a long time.",1
4.0,Pet shedding driving you crazy? This inexpensive tool will change your life!!!,"June 27, 2018",Yes,"Recently adopted beautiful yellow Lab, he’s older and very sweet so had no problem with him being inside until we began noticing how much he sheds! Apparently everyone else knew this but since we were rescuing anyway it wouldn’t have changed our-all this to say I saw similar product advertised so we began searching our new amazon prime info There were so many to choose from we went with this brand because of price Honestly if I had known how it would change things I would have paid 3x the amount which was under $15.00 it is simple light silent &amp; doesn’t upset any dog we’ve used it on which is fantastic only gave it 4out of 5 stars because I have nothing to compare it too this de-shedding tool is wonderful Thanks so much,T Lankford",0
4.0,My cats like this supplement,"October 7, 2016",Yes,"My cats like this supplement. I discovered my cats prefer smaller pieces. I cut the pill in 4 pieces, because my cats are small. In that way they love the pill, and I am very happy because they enjoy it. Their coats are soft..I would prefer if the pills were smaller or a different size for smaller animals.  It was very difficult to cut because the pill desintegrate..The seller was so kind. I am happy to find a supplement that my cats enjoy.",2
5.0,Itchy skin be gone = happy dog,"August 12, 2015",Yes,My dog has been suffering from itchy skin for the last few months… nothing else I have tried seem to have any real impact until I used these Thunderpaws supplements and have started seeing significant changes. Before that the poor little guy was almost drawing blood from the constant scratching but I noticed significantly less scratching in the second week of use and he seems so much happier!.Theses treats are really tasty too and he definitely looks forward  to having them – thinking of them as treats! Thank you so much for helping my dog,3
3.0,Not For Sloppy Drinkers or Food Wolfers,"March 20, 2016",Yes,"I was so excited for these bowls, based on their great reviews! Unfortunately, I felt a little let down. Here are my pros and cons:..Pros:.-Nonslip bottom is nice for slick floors.-They're very aesthetically pleasing to leave on your kitchen floor...Cons:.-The angles of the bowls make it easy for a dog to accidentally push food out with their nose..-If you have a dog that wolfs down food, the angles make it even easier for them to shovel food in their mouth. I had to put a few tuna cans in the food bowl to make it harder for my dog to shovel food down..-The angles of the bowl doesn't keep water inside. It sloshes around a lot more than a traditional bowl because these bowls are pretty shallow..-Water splashed around from dog lapping makes the nonstick rubber on the bottom worthless (both bowls will slide around on the puddle of water from excess water on the floor)..Overall: most of my problems with the bowls may have to do with the way my individual dog eats. I guess they work for now. But I'll probably find a different specialized bowl for my sloppy water drinker.",8
5.0,"Perfect size for a small dog, and not able to be moved/tipped!","April 1, 2017",Yes,"These are perfect for a small dog! With a small dog that doesn't eat much at one time, these are the perfect bowls. The best part is the rubber grips around the bottom which make it almost impossible for the dog to push them around/tilt them over. We take away water 2 hours before bedtime, and that is when we wash them out each night.",2
5.0,Brought back from the brink,"November 10, 2015",Yes,"We had been looking after a feral tabby Manx cat we have named ""Tommy"". Tommy stopped coming around for a couple of months and when he showed up again, he had lost weight and looked like he was on his last legs (he missing patches of fur and had some sort of scabby skin condition).  It broke my heart to see him in this state! We were afraid he wasn't going to make it through the next month, much less the coming winter, and decided to do our best to try get him back to good health. We started by putting him on a higher quality diet and adding these tablets to his meals (1/2 tab crumbled into each meal)...It's only been a little over a month now and Tommy not only looks like a different cat, but acts like one, too. He has put on weight, his fur is thick and shiny, and you can no longer feel any scabs on him when you pet him. He seems more alert and would now be mistaken for someone's pet, if it weren't for the fact that he was so skittish...I thought we were going to lose Tommy, but with good food and these tablets, he has made an amazing recovery in a very short period of time. I only wish I had taken a ""before"" photo, so that people could see what a change has been made, particularly in his skin and coat!",1
5.0,but I am happy to say that not only does the cat eat ...,"February 27, 2017",Yes,"I was hesitant to order this product for my fiance's fussy feline, but I am happy to say that not only does the cat eat the supplement without hesitation, he actually enjoys it. I've both noticed an improvement in his coat. I purchased because he was showing some signs of having dry skin/dander. There is still some dander, but he has been taking them for a little over a week.",2
5.0,HIGHLY RECOMMENDED.,"March 6, 2017",Yes,"Bought two sets.  Wish I bought a  5th bowl, or another pair so as to have a spare...I have five dogs.  Aside frombeing a bit hard to pickup off the floor, they work well  The rubber rim on the bottom keeps them from moving around.  They are easy to clean.  The bowl is a nice size for a doggie meal.",2
5.0,My dogs love it so far,"August 5, 2017",Yes,"My dogs love it so far. We are in the 5th day and seem to be working quite nice. I don't want to come early n say they work wonders but I've noticed their coat is looking shinier, the skin less flaky (some days in Chicago are very dry), and as a result they've stopped itching n scratching. I'm also giving them probiotics, so... let's see how it goes.... to be continued...",1
4.0,"Great for the price, but not perfect","May 13, 2016",Yes,For the price you can't really beat these bowls. They are stainless steel and are the perfect size for both our 50lbs and 90lbs dogs...The only complaint I would mention is that the rubber rings on the bottom are very thin and can slip off easily. Because they are thin it's not difficult for either of our dogs to still slide the bowls around the kitchen as they eat - though it certainly slows them down. Also one of our dogs was trained to pick up his bowl and present it to us before feeding but with these bowls if he picks it up the rubber ring almost always comes off because it is not glued to the bowl...Overall though definitely worth the price.,3
5.0,Works for cats!,"December 29, 2016",Yes,"These work. They have helped my cats' coat a great deal. I can see the difference in their fur- it is softer, much fuller and shinier. My cats love them. I give each half a treat per day, and I brake it into little pieces because they are big. This is the second jar I've bought, and will continue to give it to them. It didn't help much with dandruff, but I guess I can't have it all. I highly recommend them.",2
5.0,Great results.,"November 14, 2016",Yes,"This is the second bottle I've purchased of this product, and it works beautifully.  My 16 year old dachshund had horrible dull and patchy fur.  After using the Skin &amp; Coat product, his coat filled back in nice and shiny and the scratching/chewing stopped.  On a side note, I did try a similar product made by a different company, and the poor condition of the skin returned.  I'm now sold on this one product and will continue to purchase!",2
2.0,dinky bowls,"June 2, 2016",Yes,"This is very very lightweight stainless steel. The bowls do technically hold 32 oz but if you fill them, that much, they become impossible to put down without spilling. The rubber rings were coming off the bowls when they arrived, but they do not do much anyway, because they are made out of a slick material that does not grip the floor. I went to an unnameable store the other day and saw deep, heavyweight dog bows with grippy rubber for a little bit more. I wish I have been patient and purchased those.",1
1.0,the rubber at the bottom of these comes off so easily. Also - they are very shallow,"August 30, 2016",Yes,"I bought these bowls hoping that my dog, who always tries to tip her bowl over, would stop. Not only did they rust up after a week, the rubber at the bottom of these comes off so easily. Also - they are very shallow. I would suggest looking for a different product.",3
5.0,Awesome results,"September 5, 2016",Yes,My dog suffers from skin allergies ive tried it all no success. Then i got Thunderpaws omega chewable tablets and O.M.G i just 7 days his itching stopped and the redness went down!! Great product will refer to anyone. Plus my dog loves it he thinks its a treat..,3
5.0,Good results!,"February 13, 2017",Yes,"I've been using these for my two dogs for two months now.  I can honestly say I have noticed a positive result in both of my dogs...I was pleasantly surprised!  Their fur is soft, thick and flake free.  My only suggestion (someone else mentioned this too) is that they come in a smaller size so that you don't have to break them in half for a small dog.  They do not break well and tend to crumble.  I mix this in their food and they eat it, absolutely no problems with that issue.  One of my dogs is very allergic in the spring and fall.  I am hoping this helps with her itching during that time too.  I am reordering this product.",1
5.0,very good looking and very easy to clean,"February 25, 2016",Yes,"Completely impressed with this product for the price! I don't know what more you can want out of a dog bowl. They are large, very good looking and very easy to clean. My little GSD puppy would always walk up to a bowl of water or food and drag it with her, spilling the contents everywhere. However its nearly impossible to knock these bowls over or to slide them thanks to the rubber bottom so it makes no mess!",2
5.0,Nice dish,"March 2, 2017",Yes,"Nice dishes. A bit on the thin side, but what are you going to put in them beside dog food? They are light, but the rubber rim on the bottom helps keep them in place.",3
4.0,Great Treats,"March 8, 2017",Yes,"Love these as much as my dog does. He is addicted. They are great treats for your pocket as they do not leave any residue and are dry, but soft. It reminds me of space ice cream as a kid. Some of the chunks are perfect size (65 lb dog) but some bags I received are all super small pieces which can be difficult to give to him cleanly. Love the clean label and product!",1
2.0,Couldn’t get my cat to eat them,"June 3, 2018",Yes,"My cat has severe allergies, and we have to take him for steroid shots every few months because he literally scratches until he bleeds.  I was REALLY hoping these tablets would help control the itching, but I couldn’t get him to eat them.  I was really hopeful, because I saw so many reviews saying their picky pet ate them, but no luck for us.",0
1.0,NOT a winner,"September 16, 2016",Yes,Unfortunately the rubber has come off of the bottom of the bowl and rust developed underneath so I will not be buying this type of bowl again.,4
5.0,Great buy,"December 31, 2017",Yes,"Top quality leash and I love the extra handle that is close to the collar. That extra handle is why I purchased the collar. My dog does not have the best of manners yet and when I taken him to the vet, I need to have him right by my side with no chance of escape. He is secure in his harness and with the Two Handle dog leash by QOL.  The leash is also high quality, easy on the hands",0
5.0,My dog was super itchy...until I tried this product!,"July 14, 2017",Yes,"We got my dog as a rescue and he had MAJOR skin issues (ie. bald patches!) and he was super itchy. He scratched himself day and night. Although his skin healed with proper nutrition and care, he was still itchy. I tried Omega 3s, allergy medicine, coconut oil, etc. and nothing made a real difference. Then, a couple months ago, I tried Thunderpaws. Voila! My pup no longer scratches! When he sees the bottle, he immediately sits and stares at me...waiting to eat it. It's his favorite daily treat! I just ordered my second bottle and recently recommended it to a friend whose dog was having skin issues.",1
5.0,Great product for price!,"April 5, 2017",Yes,We left our fur baby's bowls at our daughters house and when we realized it we choose to buy these bowls from Amazon. They are very cute bowls and they are a good product for the price. My sheltie has no problem eating out of this bowl but if you have a collie with a long snouter it is a little more difficult for him but he loves his food so he has accommodated his snouter!,1
5.0,wont buy anything else,"June 8, 2015",Yes,"This is great! We had a little Yorkie show up on our doorstep a while back. He was wet, shivering and so matted we couldn't tell what sex he was.After a trip to the vet and groomer he was doing much better but continued to have sore spots on his skin assuming from the matted condition he had been in. I used this shampoo on him and immediately he was scratching less. I used it again a few days later and it soothed the little guy enough to stop scratching at his sores and now 2 weeks later they are completely gone and his coat is so soft and smells wonderful.",1
5.0,So good that I ordered another one,"November 15, 2017",Yes,"I saw a similar brush on FB.  I looked at the one advertised and other suggested similar brushes.  I found this one which seemed almost identical and found it was cheaper than the initial one I looked for.  I bought it, used it and liked it so much that within the week I ordered a second one and referred another person suggesting they order one too.  If you're reading this, get one! I'm sure you'll be satisfied with your selection.",1
3.0,Worked well until it broke,"December 21, 2018",Yes,Broke after a few months,2
4.0,No More Scratching.,"February 10, 2017",Yes,"The scratching and itching has stopped for all intents and purposes. Still sheds like bigfoot. I sweep up a puppy's worth every day.  Absolutely no problem getting him to eat it, (Or anything else for that matter)..He will take it right out of my hand. It breaks up really easily..I find the cost a bit much, but not as bothersome as the scratching.",1
5.0,I am beyond EXCITED to see the difference this makes in their dry skin especially with winter coming quickly and I know our poor,"October 31, 2016",Yes,"Both my dogs, the 14 year old Shih Tzu and the 5 month old Shih Tzu gobbled them up!  They both received half.  I can't wait to see a change in their skin and coat as the 14 year old has been dealing with some awful, smelly, dry and itchy skin for months now!  I wish I had learned of these some time back as I feel he would not have had to suffer as much for so long!!!  I am beyond EXCITED to see the difference this makes in their dry skin especially with winter coming quickly and I know our poor Rascal (the 14 yr old) is ready for some relief!!!.These must taste pretty awesome too because the 14 yr old is very finicky!!!!.Thank you Thunderpaws!!!!!!!",2
5.0,But they are picky so I was pleasantly surprised when they like the taste of these,"March 9, 2018",Yes,"two old cats could use a little extra TLC.  But they are picky so I was pleasantly surprised when they like the taste of these. I take a fourth tablet and for each, then crush them with the flat edge of a broad cooking knife, then scrape the 'dust' onto their plates of canned food. They love the taste. Just started using them, so don't know what the results will be.  But just to help their appetites is a good start.",0
5.0,... that my picky 15 year old cocker spaniel would hate these and I was going to have to crush ...,"December 21, 2017",Yes,I was worried at first that my picky 15 year old cocker spaniel would hate these and I was going to have to crush them up in her food some how. She gobbled them up like they were a treat. Our cat is not as picky but she is a cat after all. She has FeLv though and needs any help she can get. She also loved them though I break it up into quarters for her. So far I have noticed a difference in their coats and their energy level.,0
5.0,Great quality!,"January 22, 2018",Yes,"My dogs tend to pull when they walk and the leash I had always hurt my hand.  And if I wanted to have short leash I would wrap the leash around my hand - Ouch!  I bought this leash to try out the padded handle with the second handle just a bonus.  I love it!  It is so much easier on my hand and the length is good.  The second handle is very useful when needing a bit more control.  I liked it so much, the next day I ordered another one.😀",0
3.0,Too little for my 40 and 90 lb.r,"April 12, 2016",Yes,I thought 32 oz. Would be a pretty big size. I have to refill my 90lb. Dog food 2x and my 40lb. Dog food bowl 1 1/2x  .....do you make a larger bowl.  I like the bowl because my 90lb.r throws her food bowl around  (what a mess) and tries to toss her water bowl....please let me know if you have bigger bowls....otherwise I need to return and look at Pet smart or something...hopefully you can help,2
5.0,The cat is finally relaxed again! No more biting/itching,"August 7, 2017",Yes,"My cat had been scratching non-stop for about two weeks.  Finally realized it wasnt fleas or allergies but dry skin..So far, 4th day, she has been much more relaxed and the area is healing already. These pills really work &amp; that's only giving the cat 1/2 pill daily.",1
5.0,Our 10 year old cat has been eating plastic and ...,"May 21, 2017",Yes,Our 10 year old cat has been eating plastic and throwing up afterward. We tried different kinds of vitamins before but she refuse to eat them. She loves this product from the first time we gave it to her. Now she's been asking for the vitamins every day. We will have to see if that stops her habit.,1
5.0,My cat's skin condition healed very quickly!,"March 10, 2017",Yes,"Recently I adopted a cat with severe flea allergy. She had horrible scabs all over hear body, and it took her a while to recover, so I decided to give this tablet a try. It seems to help her heal quicker. Now her skin is all nicely healed up and her fur is so shiny soft!  The tablet is so easy to break down so I crumble it into her food dish and she just eats it with cat food. She seems to like the flavor too, and my dog also loves this tablet as well and tries to steal it from her all the time!",2
5.0,Cat Likes Them,"May 10, 2018",Yes,"My cat -- who isn't the biggest eater -- just had her first tablet. Subsequently, I find her sifting through the trash licking the cotton that I threw away from the bottle. Perfect because I am using this treat as a training device and now I can manipulate my hard-to-manipulate cat.",0
5.0,Love it!,"April 26, 2018",Yes,"This brush is AMAZING!!!! Everytime I use it I get a giant ball of fur! My cat also seems to not hate it! I love the button feature to push out the fur, it really helps do the process quicker. I haven't use the furminator and I never will for the ridiculous price, but I think anyone looking for a deshedding brush similar to that one will be very happy with this one.",0
5.0,My Dog Likes These,"December 6, 2016",Yes,"My main motivation for trying this was that I have a very picky Labrador. He won't eat the usual fish oil capsules. He does eat these which is the basis for my rating. However, it would be nice to know how much omega-3,-6, and -9 oils is in each chewable tablet.  .7% doesn't really tell me anything.  .7% of what?",1
5.0,I've never seen dogs so excited about treats,"August 16, 2015",Yes,"I have two extremely spoiled 8 month old Rottweiler pups. To say they are stubborn is an understatement. I am always on the look-out for good,healthy treats to help with their training. All the reviews were so fantastic I just had to let my dogs try them. From the moment I gave them their first treat I had my boys in the palm of my hand - I am not exaggerating at all. They followed me around so excited to work on commands. I'm not going to have perfectly trained dogs because of these treats but they absolutely love them and that's all that matters to me.",0
5.0,Got my yard back within 24 hours,"January 13, 2019",Yes,"Within 24 hours of putting this device about a foot off the ground, right at the fence where my neighbors dogs barked incessantly- we were rewarded with silence. My dog will still bark one time to get inside, so it cannot be that bad for the animals... keep a fresh 9v battery in it, and go straight to the highest setting.",0
4.0,I do like that it took a lot of the fur from ...,"March 10, 2018",Yes,"I have mixed feelings about this product. My cats cried the entire time I was combing their hair. Not sure if this was pulling on them as it deshedded them. I do like that it took a lot of the fur from them, but I’m not sure if I want to do this again. I would like to know if it hurts them.",0
5.0,I didn't like them as much as my dog.,"March 7, 2017",Yes,"I'll be straight; I bought these thinking they were a chicken snack.  After the first four or five handfuls, I read the package and learned they are meant for dogs.  My dog will do absolutely anything for these treats.",2
5.0,Kitty loves it!,"October 29, 2017",Yes,Love this company and the vitamins. They answered my question saying there is no phosphorus in the vitamin. Low phosphorus is necessary for a CKD cat. My very picky eater will gobble them down when mixed in with his dry food. He is thriving now and perhaps these vitamins are helping.,1
5.0,"I love it, it came on time and it's perfect ...","January 30, 2018",Yes,"I love it, it came on time and it's perfect for my pug. This brush is not as well as another one I had but it still works well. This works best on small dogs and medium too. I tried to use it on a friends golden retriever but it would have taken too long because of the brushes size but if you have the time it works very well.",0
5.0,Great quality. Love two-handle concept!,"August 2, 2018",Yes,Our puppy is 45-50 lbs. The leash is of a very good quality and easy to buckle! It also reflects light at night very well. Perfect for a city dog! I love the two-handle concept and am definitely using either handle depending on which one fits the situation.,0
5.0,"My fur babies(cats) love these, they think they are treats","December 27, 2017",Yes,"My fur babies(cats) love these, they think they are treats. I have noticed a change in their coats, it is silky, no more little bumps by the tail,I recommend  this for skin issues, and clumping hair,",1
4.0,"Good, but not great.","October 19, 2015",Yes,"This shampoo was for my Westie that has bad allergies. We loved the other shampoo that we'd been using for years, but the price was raised, so thought it was time to try something new. The smell wasn't bad, I liked the natural ingredients. However, we did end up spending the extra money and going back to the other shampoo. This just didn't seem to last as long. We ended up having to give the dog a bath every two or three days instead of weekly. The scent just didn't stay. But I think for some it could be a good product.",0
5.0,This is great at removing the under coat of my German Shorthaired ...,"July 17, 2017",Yes,This is great at removing the under coat of my German Shorthaired Pointer. She loves it and will stay still long enough to brush her entire body out.  She'd never stay still that long with other brushes.,2
