,article_title
67,Juno Calypso's best photograph: voyeurism in a pink cold-war bunker
68,I love my ‘dumb phone’. It’s just so slow on the uptake | Alice O’Keeffe
69,Great snowy breaks around the world: readers’ travel tips
70,U.S. demands Russia explain American's detention on spying charges
71,"From park toilets to courts, U.S. shutdown jams up the works"
72,"Aquaman splashes past Wonder Woman, could reach $1 billion     - CNET"
73,China's Chang'e 4 makes historic first landing on the moon's far side     - CNET
74,"At national parks, Americans blame both sides for shutdown"
75,"A woman got a $35 manicure, then fled without paying. The salon owner died trying to stop her."
76,A man attacked a McDonald’s employee. Video of her fighting back went viral.
77,"At national parks, Americans blame both sides for shutdown"
78,Fact Check of the Day: Trump’s Freewheeling and Fact-Free Cabinet Meeting
79,The Pen Proves Mighty for an Unlikely Trump Correspondent
80,14-Year-Old Is Charged With Murder After Egg Prank and Fatal Crash
81,Ex-NYPD deputy inspector cleared at police corruption trial
82,"Police: Robbery, carjacking, chase injure 2 officers, victim"
83,"Police: Alabama man pushes TV stand, child loses 3 toes"
84,What to watch for as the new Congress begins
85,"New Horizons unveils a new world. Actually, it's 2 worlds smashed together."
86,'Aquaman' overtakes 'Wonder Woman' in global box office total
87,People are walking around blindfolded for the 'Bird Box' Challenge
88,'Meditations' delivers a free daily dose of play to keep you centered in 2019
89,The beautiful creatures that went extinct in 2018
90,'Tidying Up With Marie Kondo' has Twitter obsessed with cleaning
91,"Roku brings premium subscriptions to Roku Channel, taking on Amazon Prime Video"
92,The toilets are overflowing in national parks. But that's not the worst problem.
93,Colombia coca production: US 'deeply concerned' by rise
94,China's 'Jack the Ripper' Gao Chengyong executed for murders
95,Abby Sunderland: Yacht abandoned in 2010 record attempt found
96,It's official: iPhones are too expensive
97,Police called after man heard shouting death threats... to a spider
98,"Without iOS 12.1.2 on iPad, some users can't import iCloud backups"
99,"macOS 10.14 Mojave release date, news and features"
100,The best projectors 2019: 8 projectors to consider for your home cinema
101,11 best open world games on PC today
102,Philips TVs with Android TV and Google Assistant finally coming to the US
103,Best wireless routers 2019: the best routers for your home network
104,China lands probe on the far side of the moon in a world first
105,Trump Says Mattis Resignation Was ‘Essentially’ a Firing
106,Now for the Hard Part: Getting Californians to Buy Legal Weed
107,NASA’s New Horizons Mission Releases Snowman-like Picture of Ultima Thule
108,Fact Check of the Day: Trump’s Freewheeling and Fact-Free Cabinet Meeting
109,The Pen Proves Mighty for an Unlikely Trump Correspondent
110,14-Year-Old Is Charged With Murder After Egg Prank and Fatal Crash
111,FCC to suspend most activity due to partial government shutdown     - CNET
112,"GM hits EV sales cap, incentives drop to $3,750 in April 2019, report says     - Roadshow"
113,NASA New Horizons image shows weird Ultima Thule looks like a snowman     - CNET
114,Mark Hamill admires The Joker's New Year's resolutions     - CNET
115,Byton is going full-on Pimp My Ride at CES with a touchscreen steering wheel     - Roadshow
116,How to Train Your Dragon 3 review: Very nearly perfect     - CNET
117,"Samsung Galaxy S10 rumors: Everything we know about a Feb. 20 launch, March 8 release, specs, features and price     - CNET"
118,iPhone and Android in 2019: Here's why your phone will cost even more     - CNET
119,"Judge dismisses lawsuits against Facebook, Google, Twitter over San Bernardino shooting     - CNET"
120,A Mega Millions player rang in the new year by winning one of the largest lottery jackpots
121,"Nancy Pelosi, Icon of Female Power, Will Reclaim Speakership and Seal Place in History"
122,Inside Pelosi’s Leadership Playbook
123,"For Bernie Sanders, Claims of Sexism in 2016 Campaign Hang Over 2020 Bid"
124,Critic’s Notebook: Pittsburgh Report: Five Places for Healing Through Art
125,Trump Says Mattis Resignation Was ‘Essentially’ a Firing
126,Now for the Hard Part: Getting Californians to Buy Legal Weed
127,NASA’s New Horizons Mission Releases Snowman-like Picture of Ultima Thule
128,Chromecast PewDiePie hack exposes long-standing unpatched bug
129,Netflix issues official warning over ridiculous new 'Bird Box Challenge'
130,"New Horizons unveils a new world. Actually, it's 2 worlds smashed together."
131,'Aquaman' overtakes 'Wonder Woman' in global box office total
132,People are walking around blindfolded for the 'Bird Box' Challenge
133,'Meditations' delivers a free daily dose of play to keep you centered in 2019
134,The beautiful creatures that went extinct in 2018
135,'Tidying Up With Marie Kondo' has Twitter obsessed with cleaning
136,"Roku brings premium subscriptions to Roku Channel, taking on Amazon Prime Video"
137,The toilets are overflowing in national parks. But that's not the worst problem.
138,First close-ups of Ultima Thule reveal it resembles dark red snowman
139,Bitten by a great white shark: survivors on their near-death experience
140,The Guardian view on spaceflight: the outward urge
141,Newcastle United v Manchester United: Premier League – live!
142,"Chelsea v Southampton, Huddersfield v Burnley: Premier League – live!"
143,US markets start 2019 with a whimper as Trump blames 'glitch' for 2018 losses
144,Sabarimala: Women defy historic temple ban
145,#ShutdownStories: The impact of the government shutdown
146,Man Charged With Murder in Killing of California Police Officer
147,Apple says cheap battery replacements hurt iPhone sales
148,Google gets FCC approval to use radar-based motion sensor     - CNET
149,Game of Thrones makes appearance at Trump White House meeting     - CNET
150,Hackers are taking over Chromecasts to promote PewDiePie’s channel
151,Trump and top lawmakers fail to resolve shutdown after meeting
152,Soldier charged with murder after wife’s body found in trash
153,California county to pay $5M over torture-killing of girl
154,Sabarimala: India state shut down after women enter temple
155,Church of Scientology stabbing: Man killed 'by teenager' in Sydney
156,Concerns as Irish abortion services start
157,Apple's iPhone sales shortfall could cost it $9 billion in revenue
158,Apple stocks tumble after company cuts forecasts for key quarter
159,Parkland commission recommends teachers be allowed to carry guns
160,‘We exist’: California begins issuing state IDs with a third gender option
161,Romelu Lukaku scores with first touch as Manchester United beat Newcastle
162,Mexican experts discover first temple of god depicted as skinned human corpse
163,Couples can’t get marriage licenses in D.C. during federal shutdown
164,Best phones in Australia 2019: top 10 smartphones tested and ranked
165,Best movies on Netflix (January 2019): 20 films you need to watch right now
166,"Curse you, people who landed $16,000 first class seats for $675"
167,Elizabeth Warren makes key 2020 hires ahead of 1st Iowa trip
168,"Karate skills help woman, 22, capture burglary suspect"
169,"American Kennel Club adds a breed: the speedy, sleek Azawakh"
170,Dr. Hook & The Medicine Show vocalist Ray Sawyer dies at 81
171,Carrie Ann Inaba gets host gig on ‘The Talk’
172,Chang'e 4 landing: China probe makes historic touchdown on far side of the moon
173,Fragmenting nuclear arms controls leave world in a more dangerous place
174,Mark Hamill admires The Joker's New Year's resolutions     - CNET
175,Byton is going full-on Pimp My Ride at CES with a touchscreen steering wheel     - Roadshow
176,How to Train Your Dragon 3 review: Very nearly perfect     - CNET
177,"Samsung Galaxy S10 rumors: Everything we know about a Feb. 20 launch, March 8 release, specs, features and price     - CNET"
178,iPhone and Android in 2019: Here's why your phone will cost even more     - CNET
179,Transplant links Baltimore homicide victim to Western Maryland retiree
180,FAA investigators have to prioritize more during the partial federal shutdown
181,Home alone no more: Trump’s chatty recovery from cabin fever
182,"El Salvador murder rate falls, though still among deadliest"
183,GOP confronts anxiety about Trump primary challenge
184,Judiciary panel sets hearing date for Trump’s AG pick
185,Police: Armed Uber driver held man in crashes at gunpoint
186,New Hampshire House votes to restore gun ban
187,Los Angeles unveils earthquake warning app
188,US trying to rescue 24 fishing crew on remote Pacific atoll
189,Apple says it could miss $9 billion in iPhone sales due to weak demand
190,It's official: iPhones are too expensive
191,Police called after man heard shouting death threats... to a spider
192,Bernie Sanders says he was not aware of claims of sexism in 2016  campaign
193,Olivia Newton-John posts video: 'Rumours of my death have been greatly exaggerated'
194,Chang'e 4 landing: China probe makes historic touchdown on far side of the moon
195,Bernie Sanders says he was not aware of claims of sexism in 2016  campaign
196,Tensions bubble up after Hong Kong's 'Food God' pours scorn on hotpot
197,Olivia Newton-John posts video: 'Rumours of my death have been greatly exaggerated'
198,Best TV 2019: which TV should you buy?
199,CES 2019: here's what you can expect from the annual tech-stravaganza
200,Chief of Chinese search giant Baidu warns that ‘Winter is coming’     - CNET
201,Why your iPhone and Android phone will cost more in 2019     - CNET
202,First close-ups of Ultima Thule reveal it resembles dark red snowman
203,Bitten by a great white shark: survivors on their near-death experience
204,The Guardian view on spaceflight: the outward urge
205,Newcastle United v Manchester United: Premier League – live!
206,"Chelsea v Southampton, Huddersfield v Burnley: Premier League – live!"
207,"Tropical storm to bring rain, high seas to southern Thailand"
208,Chinese spacecraft makes first landing on moon’s far side
209,Soldier charged with murder after wife’s body found in trash
210,California county to pay $5M over torture-killing of girl
211,Man Charged With Murder in Killing of California Police Officer
212,Apple blames China as it cuts forecast
213,California Forces Pet Stores to Sell Only Dogs and Cats From Shelters
214,"Shutdown, Nancy Pelosi, Apple: Your Wednesday Evening Briefing"
215,What Is and Isn’t Affected by the Government Shutdown
216,A Trump County Confronts the Administration Amid a Rash of Child Cancers
217,"Review: Sarah Moss’s “Ghost Wall,” a Slender Novel That Evokes Existential Dread"
218,Unforeseen
219,David Bowman and the Furry-Girl School of American Fiction
220,"Report into deadliest U.S. high school shooting calls for arming teachers, more security"
221,Democrats to push shutdown halt that Trump unlikely to accept
222,How Predictable Is Donald Trump?
223,"Mitt Romney vs. Donald Trump: If Utah’s New Senator Is Serious, He Should Be Running for President"
224,Could Tesla price cuts mean demand is slowing?
225,"Schumacher’s 50th birthday comes amid celebrations, privacy"
226,"Bus overturns on Mississippi interstate, no serious injuries"
227,Germany makes it easier for manufacturers to offer diesel emissions fixes     - Roadshow
228,Bob Einstein: Curb Your Enthusiasm actor and comedy writer dies
229,The place where you can smash up cars for fun
230,'I pray our child isn't born with my deformities'
231,I met my boyfriend 12 years after giving birth to his child
232,What it's like to work in an Indian 'rat-hole' mine
233,Clouds gathering over global economy
234,Ethiopia's Abiy Ahmed: The leader promising to heal a nation
235,Ole Gunnar Solskjaer: 'I don't want to leave Man Utd'
236,U.S. ambassador visits detained American in Russia: State Department
237,"Filthy parks, closed museums: U.S. government shutdown grinds on"
238,Texas teen charged in death stemming from egg-throwing prank: police
239,multiple santa clauses were no match for the wrath of gritty
240,emily blunt can’t get over how adorable stephen colbert is when he’s running
241,"here are your top 10 most-googled fashion questions of 2018, answered"
242,how red and green became the colors of christmas
243,a complete timeline of the most glorious times gritty captured hearts and imaginations in 2018
244,congressman dan crenshaw spoke to pete davidson after his troubling instagram post
245,"macaulay culkin does all your favorite home alone moments as an older, wiser man"
246,no one is more excited for game of thrones to return than t-pain
247,forever 21 slammed for advertising black panther-inspired ‘wakanda’ sweater using a white model
248,new ‘aladdin’ photos have fans unexpectedly swooning over jafar
249,emily blunt sets the record straight about who meryl streep modeled miranda priestly after
250,an aquarium aimed for meme greatness with abby the otter photo and it backfired
251,jay z and kylie jenner are officially tied on america’s richest celebrities list
252,the surprisingly sad true story behind ‘rudolph the red-nosed reindeer’
253,mom arrested for leaving her kids found home alone watching the movie home alone
254,people are thoroughly enjoying michelle obama’s sparkly style statement
255,jimmy kimmel crowns this internet challenge fail the viral clip of 2018
256,broken hershey’s kisses are distressing bakers this holiday season
257,president trump shares a throwback video of his stint as a ‘farmer’ before signing the farm bill
258,google celebrates the shortest day of the year with a winter solstice doodle
259,people are already planning on ice skating on mars thanks to this stunning photo
260,stephen colbert is convinced this is the driving force behind trump
261,christmas wreaths are a classic holiday decoration with a surprisingly deep history
262,jimmy kimmel declares trump’s ‘war on christmas’ victory with a seuss-style kids book
263,andy cohen announces he’s becoming a dad via surrogate
264,priyanka chopra and deepika padukone were dancing queens at chopra’s second wedding reception
265,8 gifts the game of thrones superfan in your life will love
266,miley cyrus has some 2018 revisions to the classic ‘santa baby’ song
267,a referee forced this high school wrestler to cut his dreadlocks or forfeit
268,7 magical gifts for the harry potter lover in your life
269,‘star wars’ actor john boyega ‘arrested’ by stormtroopers at disneyland paris
270,here are all the stores open and closed on christmas 2018
271,where in the world is santa? find out with the santa tracker
272,here are all the restaurants open on christmas 2018
273,tom hanks and rita wilson play santa claus at california in-n-out burger
274,nasa says hippopotamus-shaped asteroid zipped past earth
275,meghan markle and kate middleton greet onlookers together on christmas
276,this mashup of 2018 movie trailers is a trip down memory lane
277,no one wants to spend christmas like mom-to-be amy schumer did
278,american colin o’brady becomes the first person to complete a solo antarctica crossing
279,Instagram Accidentally Changed Everyone’s App and People Absolutely Hated It
280,See Billie Lourd Emotionally Honor Mom Carrie Fisher on the Two-Year Anniversary of Her Death
281,2018 Was A Tense Year. The Biggest Search Trends on Dictionary.com Show Just How Tense It Was
282,Active Labor Didn’t Stop This Louisiana Woman From Attending Her Graduation Ceremony
283,‘Something Insane Is Happening in the Sky.’ Pulsating Blue Light Flashes Over New York City After Transformer Explosion
284,How a Starbucks Barista Helped a Customer Find a New Kidney
285,Pedialyte Is Embracing Its Reputation as a Hangover Treatment With a Sparkling Drink for Adults
286,Here Are All the Stores Open and Closed on New Year’s 2019
287,Here Are All the Restaurants Open on New Year’s 2018
288,Here’s How to Watch the New Year’s Eve Ball Drop Livestream
289,Chrissy Teigen’s Umbrella Moment Is Already the Most Relatable Thing to Happen in 2019 So Far
290,Man Screams at a Very Scary Spider So Loudly That the Police Show Up
291,Man Screams at a Very Scary Spider So Loudly That the Police Show Up
292,Here Are All the Celebrities Who Dressed Up For Taylor Swift’s New Year’s Eve Party
293,"Don’t Look Now, But People Are Doing the ‘Bird Box Challenge’"
294,many states see strong revenue
295,"gm says 2,700 workers slated for layoffs can transfer"
296,why does your coffee taste like tires? a battle brews between beans
297,ghosn's u.s. push irked nissan executives
298,is it really five stars? how to spot fake amazon reviews
299,carlos ghosn closer to release as bid to extend detention without bail is rejected
300,carlos ghosn re-arrested on suspicion of shifting personal losses to nissan
301,carlos ghosn rearrested on suspicion of shifting personal losses to nissan
302,once hot housing market likely to cool further in 2019
303,once-hot housing market likely to cool further in 2019
304,evan spiegel's imperious style made snapchat a success---until users fled
305,how china built a steel behemoth and convulsed world trade
306,toys 'r' us stores are selling fast
307,Ghosn Investigators Focus on Ties to Saudi Businessman
308,Teachers Quit Jobs at Record Rate
309,Hospitals Win Drug-Subsidy Case
310,"FCC Probes Nationwide CenturyLink Outage, Cites 911 Service Disruption"
311,Your Cash Is No Good Here. Literally.
312,"Carlos Ghosn Can Be Held in Jail Until Jan. 11, Tokyo Court Says"
313,Auto Sellers Try Out Amazon-Style Ordering
314,U.S. Indexes Close With 2018 Losses
315,Rewards Credit Cards Gained a Fanatic Following---Now Banks Are Pulling Back
316,why you need a supercomputer to build a house
317,trello acquires butler to add power of automation
318,kong launches its fully managed api platform
319,"invision, valued at $1.9 billion, picks up $115 million series f"
320,techsee nabs $16m for its customer support solution built on computer vision and ar
321,dell votes to buy back vmware tracking stock and go public again
322,the cloud native computing foundation adds etcd to its open-source stable
323,dell’s long game is in hybrid and private clouds
324,nexthink raises $85m to monitor and improve ’employee experience’ of apps
325,juniper square lines up $25m for its real estate investment platform
326,software marketplace g2 crowd acquires siftery to fold software usage into its dataset
327,atscale lands $50 million investment led by morgan stanley
328,ai-powered knowledge-sharing platform guru raises $25 million series b
329,tigera raises $30m series b for its kubernetes security and compliance platform
330,oracle is suing the us government over $10b pentagon jedi cloud contract process
331,chorus.ai rings up $33m for its platform that analyses sales calls to close more deals
332,nyc’s work-bench announces $47m enterprise investment fund
333,new tool uses ai to roll back problematic continuous delivery builds automatically
334,they scaled youtube — now they’ll shard everyone with planetscale
335,wandelbots raises $6.8m to make programming a robot as easy as putting on a jacket
336,ge’s digital future looking murkier with move to spin off industrial iot biz
337,the limits of coworking
338,aws signs on to defend itself in oracle’s jedi rfp lawsuit against us government
339,"the mom project, a job site for moms returning to work, nabs $8m from initialized and more"
340,seismic scores $100 million series e investment on $1 billion valuation
341,cisco to acquire silicon photonics chip maker luxtera for $660 million
342,"box releases skills, which lets developers apply ai and machine learning to box content"
343,ex-googlers meld humans & machines at new cobotics startup formant
344,"at cobotics startup formant, ex-googlers team up humans & machines"
345,dataiku raises $101 million for its collaborative data science platform
346,sprout social raises another $40.5m to double down on social tools for businesses
347,google’s cloud spanner database adds new features and regions
348,microsoft launches a new app to make using office easier
349,these 10 enterprise m&a deals totaled over $87 billion this year
350,"crew, a workplace and slack messaging rival for shift workers, raises $35m, adds enterprise version"
351,"cinven acquires one.com, one of europe’s biggest hosting providers with 1.5m customers"
352,salesforce keeps rolling with another banner year in 2018
353,"Mozilla promises a faster, prettier Thunderbird with better Gmail support"
354,former nicotine research monkeys now at primate sanctuary
355,canseco makes pitch for chief of staff job in tweet to trump
356,burned bear cinder shot and killed by hunter in washington
357,‘nobody should work here — ever’: teen uses intercom to quit walmart
358,"janet jackson, def leppard, nicks join rock hall of fame"
359,trump argues he ‘never directed’ longtime fixer to break law
360,hackers stole nearly $1m from save the children charity
361,man gives up first-class plane seat for mother with ill baby
362,"minneapolis, tackling housing crisis and inequity, votes to end single-family zoning"
363,gov. jay inslee wants $1.1 billion to help save puget sound’s critically endangered orcas
364,trump signs bill that likely keeps early earthquake-warning system on track in northwest
365,man puts up sculpture of middle finger as a message to town
366,"starbucks to expand coffee-delivery service to about 2,000 u.s. stores next year"
367,court: trump can’t let companies deny birth control coverage
368,"apple to build new austin hub, expand in other tech hotbeds"
369,"cohen says trump knew hush-money payments were wrong, contradicting his former boss"
370,george conway calls trump a liar after kellyanne conway defends president on tv
371,woman run over at mcdonalds by man who snatched her purse
372,7-year-old girl dies of dehydration while in border control custody
373,"$510k spilled from armored truck, $300k still missing"
374,"over $500k spilled from armored truck, $300k still missing"
375,judge orders idaho to give transgender inmate gender surgery
376,judge orders idaho to give gender surgery to transgender inmate
377,former federal way hoops star jalen mcdaniels sued for allegedly secretly videotaping sex acts with fellow students
378,behind cbs’ secret $9.5 million settlement with ‘bull’ actress
379,trump’s search for a new chief of staff has reality tv feel
380,misplaced heart offers window into nation’s organ-transplant system
381,"a second brexit referendum was once a pipe dream, but now some wonder if it’s the only way out of the chaos"
382,federal judge in texas rules obama health-care law unconstitutional
383,"new report on russian disinformation, prepared for the senate, shows the operation’s scale and sweep"
384,effort to reopen bunker hill mine runs into problems
385,"anti-worker policies caused pay ‘collapse’ for bottom 90 percent, researchers say"
386,"after judge’s ruling against obamacare, what happens now?"
387,homelessness rose just a bit this year in the u.s. here’s how seattle compares.
388,homelessness rose just a bit this year in the u.s. here’s how seattle compares
389,two sea turtles rescued from oregon beaches die
390,yakima county strains to pay for $65/hour court interpreters vital for justice
391,"report on russian disinformation, prepared for senate, details scale and sweep"
392,us surgeon general warns of teen risks from e-cigarettes
393,carnival: passenger reported missing on cruise from alabama
394,"with ‘bumblebee,’ john cena finds his stride in hollywood"
395,"outside bellingham, a co-worker swiped a man’s coke can. police say it cracked a 28-year-old murder case."
396,football dominates television viewing as holiday nears
397,nielsen’s top programs for dec. 10-16
398,cbs gives no indication it will release moonves findings
399,kushner credited for pushing rare bipartisan bill
400,dc lawmakers vote to legalize sports betting
401,"vaping among teens spikes, luring new generation of kids into tobacco use"
402,"in zimbabwe, danai gurira promotes anti-poaching campaign"
403,european officials agree on ban of some single-use plastics
404,"rays to st. pete: we’re finished looking elsewhere, for now"
405,mom pins down man trying to steal her suv
406,colbert jokingly claims severance denied to ex-cbs boss
407,uk judge rules wealthy russian died of natural causes
408,coaching website tries to shift conversation about sex abuse
409,senate democrats see role for congress in curbing harassment
410,lin-manuel miranda calls ‘mary poppins’ sequel role a dream
411,fed lifts rates for 4th time this year but sees fewer hikes
412,"after big earthquake, aftershocks continue to rattle alaska"
413,"with ‘second act,’ jennifer lopez makes her own opportunity"
414,"a year after deadly amtrak crash, state says it’s on track for train-safety deadline"
415,senators bring bill to criminalize vast doping conspiracies
416,california governor predicts too much democratic spending
417,"mlb, union, cuba reach deal for players to sign"
418,milwaukee officer who mocked nba player’s arrest loses job
419,‘laverne’ role gave marshall springboard to historic career
420,"norway sees boom in electric cars, fueled by the government"
421,facebook shuts down fake bangladesh news sites ahead of vote
422,ex-senators executive pleads guilty to harassing driver
423,stand-up world shaken up in 2018 by a pair of comedians
424,‘today’ fares better than cbs after loss of male anchors
425,oklahoma ag: defunct publisher will pay about $1m to victims
426,ap source: travis scott in talks to perform at halftime show
427,bakers upset with missing tips on hershey’s kisses candy
428,house vote sends major criminal justice overhaul to trump
429,dushku says cbs agreed to monitor ‘bull’ star’s behavior
430,"alaska mayor, mother fatally struck by bus in washington, dc"
431,"adult film actress arrested in spokane, charged with attempted murder for hire"
432,"in a record year, the movie theater strikes back"
433,us debuts childhood-lead plan that critics say falls short
434,us urges doctors to write more rx for overdose antidote
435,congo: ebola outbreak ‘certainly’ to last 3-4 months more
436,state audit slams san diego response to hepatitis a outbreak
437,massachusetts doctor pleads not guilty in opioid death
438,stem cell shots linked to bacterial infection outbreak
439,louisville dance team coach fired for fiscal misconduct
440,albania expels 2 iranian diplomats for security reasons
441,"sun, snow and shirtless: asia’s sports photos of 2018"
442,indiana ag says his office is investigating usa gymnastics
443,lawsuit: eatery co-owned by golfer hasn’t paid mortgage
444,4 men sentenced in shooting that killed olympian’s daughter
445,aged gibbon dies unexpectedly at santa barbara zoo
446,scientists lobby mexico president over endangered porpoise
447,sinking greek village highlights nation’s addiction to coal
448,mars lander sets quake monitor on planet’s red surface
449,dutch lawmakers pass ambitious law to reduce emissions
450,uber approved to resume autonomous car tests in pittsburgh
451,facebook purges more myanmar accounts for misrepresentation
452,us cybersecurity firm: hackers stole eu diplomatic cables
453,report: facebook shared private messages with partners
454,"uber loses uk case on worker rights, expected to appeal"
455,german gets 6 years for running darknet site used to buy gun
456,dc sues facebook over cambridge analytica privacy scandal
457,"us sanctions russians for election meddling, nerve agent use"
458,consumer groups allege google misleads kids in ftc complaint
459,uber resumes autonomous vehicle tests in pittsburgh
460,court ruling could see iphones sales halted in germany
461,"human rights group report gains traction, twitter hammered"
462,softbank mobile unit begins trading on tokyo stock exchange
463,nepal stops water project contractors from leaving country
464,governors agree to study sending gas to asia through mexico
465,"stocks mixed in asia on fed rate decision, japanese data"
466,china says detention of canadian involves employment issue
467,china blasts us media reports of forced labor in muslim area
468,kurdish fighters discuss releasing isis prisoners
469,trump signs $867b farm bill without food stamp program cuts
470,former nfl receiver green-beckham arrested in missouri raid
471,alaska regulators approve rules for onsite marijuana use
472,how bale and amy adams became the cheneys in ‘vice’
473,affidavit: kansas football player punched woman in stomach
474,"us adults aren’t getting taller, but still putting on pounds"
475,what makes chickens happy? nobody is quite sure
476,"with senate passage, bill to prevent shutdown goes to house"
477,german court won’t try 97-year-old nazi death camp suspect
478,"then one foggy christmas eve, reindeers got connected"
479,‘watch what happens live’ host andy cohen to become dad
480,"audrey geisel, widow of dr. seuss, dead at 97"
481,"germany says link between hackers, china govt credible"
482,‘top chef’ alum owes $3m for shuttered baltimore eateries
483,2018 photos of year: nation and world
484,versailles to close saturday as precaution against protests
485,israeli military still silent over journalist shooting
486,lawyer: michigan state hampered probe of its nassar dealings
487,bill to help solve crimes against native americans stalls
488,"school safety panel erred on campaign’s aims, founders say"
489,indian opposition slams order on intercepting computer data
490,supreme court rejects trump plea to enforce asylum ban
491,officials: pentagon planning troop pullout from afghanistan
492,netflix named the associated press’ entertainer of the year
493,arizona’s ira lee takes dui plea agreement
494,felicity jones strives to do justice to ginsburg in film
495,longtime clippers fan crystal will be analyst for 1 game
496,"tokyo 2020: domestic sponsorships up, operating budget same"
497,"eyeing 2024, gymnastics makes moves on free-spirited parkour"
498,"for saoirse ronan, ‘queen of scots’ role gave room to grow"
499,balkan leaders look to bolster serbia’s eu bid
500,olympian slams ref who demanded wrestler’s dreadlocks cut
501,oklahoma quickly becoming medical marijuana hotbed
502,firm wins passenger ok for self-driving cars in california
503,"government shutdown closes parts of washington state national parks, cuts search and rescue staff"
504,congolese boy dies in us after surgery for facial tumor
505,slack: some accounts mistakenly deactivated during update
506,playoff: notre dame defense preparing for prolific tigers
507,3 astronauts return from international space station
508,siamese fighting fish set for thai national honor
509,science says: a big space crash likely made uranus lopsided
510,tons of dead fish wash up in rio de janeiro lagoon
511,alba the albino orangutan returned to jungle in indonesia
512,japan court denies extended detention of nissan’s ghosn
513,asian stocks plunge after wall street fall on rate hike
514,ap explains: nissan’s ex-chair spending christmas in custody
515,"japan cabinet oks record defense budget bill, us arms buys"
516,indonesia owns majority control over freeport’s mine
517,no us charges against chinese billionaire in alleged assault
518,chinese citizen charged with trade secrets theft in oklahoma
519,japan prosecutors file new allegation against nissan’s ghosn
520,asian stocks sink for 2nd day after wall street slide
